name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result
976;40.0;False;14.6;False;0.01;False;0.28;False;0.22056421999999998;3.16;False;0.04;False;0.04;False
977;ERR;ERR;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;TO;TO;0.04;True
978;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False
979;0.01;False;0.0;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
980;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR;0.05;True;0.06;True;0.03;True
981;0.01;False;0.14;False;0.22;False;ERR;ERR;ERR;0.06;False;0.22;False;0.44;False
982;ERR;ERR;0.01;True;0.01;True;0.71;True;0.15437642500000004;0.05;True;ERR;ERR;0.05;True
983;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
984;0.0;False;0.0;False;0.01;False;TO;TO;TO;0.05;False;0.04;False;0.04;False
985;ERR;ERR;0.04;True;0.06;True;ERR;ERR;ERR;0.05;True;0.2;False;0.15;True
986;0.11;True;0.01;True;0.01;True;0.39;True;0.188641428;0.06;True;0.77;False;0.04;True
987;37.95;True;0.01;True;0.01;True;0.68;True;0.16737612699999999;0.05;True;0.24;False;0.03;True
988;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.05;True;0.04;True
989;0.0;False;0.22;False;0.01;False;5.74;False;0.3350728749999998;0.06;False;0.31;False;0.03;False
990;0.92;True;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;14.39;False;0.02;True
991;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;0.13;False;0.05;True
992;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.03;False;TO;TO
993;0.02;False;0.12;False;0.07;False;ERR;ERR;ERR;0.2;False;0.59;False;0.04;False
994;0.0;False;0.09;False;0.05;False;ERR;ERR;ERR;0.2;False;0.22;False;0.12;False
995;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.06;False;0.04;False;0.03;False
996;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.05;False
997;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
998;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False
999;0.01;False;2.22;False;0.08;False;ERR;ERR;ERR;0.5;False;1.46;False;5.2;False
1000;76.74;False;0.39;False;0.52;False;0.18;False;0.15298613300000002;0.1;False;0.43;False;1.2;False
1001;0.02;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.03;False;TO;TO
1002;0.02;False;26.85;False;38.75;False;ERR;ERR;ERR;1.57;False;0.22;False;73.92;False
1003;0.0;False;0.0;True;0.01;True;1.1;True;0.3289686289999999;0.06;True;0.07;True;0.04;True
1004;ERR;ERR;6.81;False;0.01;False;1.24;False;0.10548909500000003;0.78;False;0.04;False;13.11;False
1005;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.05;False;0.03;True
1006;0.0;True;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.05;True;0.03;True
1007;0.01;False;0.01;False;0.01;False;1.71;False;0.25923743900000007;0.05;False;0.05;False;0.04;False
1008;0.01;False;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
1009;0.02;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
1010;0.01;False;0.72;False;1.76;False;ERR;ERR;ERR;ERR;ERR;0.6;False;2.29;False
1011;0.01;False;1.77;True;2.27;True;17.5;True;0.33884741900000037;0.37;True;2.61;False;5.29;True
1012;0.01;True;TO;TO;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
1013;0.21;False;0.08;False;0.12;False;0.41;False;0.08998400000000001;0.06;False;ERR;ERR;0.36;False
1014;ERR;ERR;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
1015;TO;TO;53.65;True;0.46;True;ERR;ERR;ERR;0.15;True;0.03;False;1.17;True
1016;ERR;ERR;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;0.06;True;0.03;True
1017;0.02;False;0.01;False;0.0;False;1.43;False;0.18041456999999994;0.07;False;0.06;False;0.03;False
1018;0.02;False;0.01;False;0.02;False;0.51;False;0.121618891;0.05;False;0.04;False;0.05;False
1019;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
1020;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.05;False
