name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
56;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.03;False;ERR
57;0.01;True;1.61;False;0.01;False;ERR;ERR;ERR;0.49;False;0.05;False;4.08;False;ERR
58;0.01;True;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO;ERR
59;0.01;True;TO;TO;0.01;False;0.36;False;0.17998693;TO;TO;0.83;False;TO;TO;ERR
60;0.01;True;0.01;True;ERR;ERR;0.23;False;0.202297662;0.06;True;0.09;False;0.04;True;ERR
61;0.01;True;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;0.06;False;0.03;True;ERR
62;0.01;True;0.0;False;0.01;False;0.09;False;6.828000000000389e-05;0.05;False;0.02;False;0.03;False;ERR
63;0.01;True;0.0;False;0.0;False;0.93;False;0.00031866000000002614;0.05;False;0.03;False;0.04;False;ERR
64;0.02;True;0.01;False;0.02;False;0.99;False;0.0002548800000000684;0.06;False;0.03;False;0.05;False;ERR
65;0.01;True;0.01;True;ERR;ERR;1.02;True;0.30328575299999994;0.05;True;0.04;False;0.05;True;ERR
66;0.01;True;0.01;True;ERR;ERR;0.55;True;0.392812552;0.06;True;0.11;False;0.03;True;ERR
67;0.0;True;0.01;False;0.01;False;0.88;False;0.0002284810000000581;0.06;False;0.04;False;0.03;False;ERR
68;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;0.05;True;0.12;False;0.03;True;ERR
69;ERR;ERR;1.09;False;ERR;ERR;ERR;ERR;ERR;0.25;False;0.08;False;1.99;False;ERR
70;0.01;True;0.01;False;0.01;False;0.08;False;6.530999999999898e-05;0.06;False;0.03;False;0.04;False;ERR
71;0.02;True;0.01;False;0.01;False;0.95;False;0.00024769999999996184;0.06;False;0.04;False;0.04;False;ERR
72;ERR;ERR;0.01;False;0.0;False;0.03;False;1.7819999999994784e-05;0.05;False;0.03;False;0.03;False;ERR
73;0.01;True;0.01;True;ERR;ERR;1.42;True;0.32435896399999997;0.04;True;0.04;False;0.03;True;ERR
74;0.01;True;0.01;True;ERR;ERR;1.07;True;0.28305031300000005;0.05;True;0.04;False;0.04;True;ERR
75;0.01;True;0.01;False;0.01;False;0.08;False;6.54300000000052e-05;0.07;False;0.03;False;0.03;False;ERR
76;ERR;ERR;0.02;True;ERR;ERR;ERR;ERR;ERR;0.06;True;0.05;False;0.03;True;ERR
77;0.01;True;0.01;True;ERR;ERR;1.21;True;0.285603226;0.06;True;0.04;False;0.04;True;ERR
78;ERR;ERR;0.0;True;ERR;ERR;ERR;ERR;ERR;0.05;True;0.06;False;0.04;True;ERR
79;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.05;False;0.04;False;ERR
80;0.01;True;0.01;True;ERR;ERR;0.15;True;0.117380247;0.05;True;0.05;False;0.03;True;ERR
81;0.01;True;0.01;True;ERR;ERR;1.42;True;0.28399028400000004;0.06;True;0.04;False;0.04;True;ERR
82;ERR;ERR;0.0;False;0.01;False;0.03;False;1.928000000000346e-05;0.04;False;0.04;False;0.03;False;ERR
83;0.0;True;0.01;False;0.01;False;0.1;False;0.00011632999999999782;0.05;False;0.04;False;0.04;False;ERR
84;0.01;True;0.01;False;0.01;False;0.95;False;0.000256380000000056;0.06;False;0.03;False;0.03;False;ERR
85;0.01;True;0.01;True;ERR;ERR;0.96;True;0.24124274099999998;0.05;True;0.03;False;0.04;True;ERR
86;0.01;True;0.01;True;ERR;ERR;0.06;False;0.034293175;0.06;True;0.05;False;0.03;True;ERR
87;0.01;True;0.01;True;ERR;ERR;1.06;True;0.25665662599999994;0.05;True;0.05;False;0.04;True;ERR
88;0.01;True;0.01;False;0.01;False;0.36;False;0.287123897;0.07;False;0.07;False;0.04;False;ERR
89;ERR;ERR;0.0;True;ERR;ERR;ERR;ERR;ERR;0.06;True;0.06;True;0.05;True;ERR
90;0.01;True;0.01;True;ERR;ERR;0.68;True;0.25283307299999996;0.06;True;0.04;False;0.04;True;ERR
91;0.02;True;0.01;False;0.02;False;0.97;False;0.0003006999999999316;0.06;False;0.03;False;0.03;False;ERR
92;0.02;True;0.0;True;ERR;ERR;1.08;True;0.2809406710000001;0.05;True;0.04;False;0.03;True;ERR
