name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
159;0.56;False;61.09;False;0.01;False;ERR;ERR;ERR;5.77;False;0.2;False;0.89;False;ERR
160;0.07;True;0.89;True;1.79;True;0.43;True;0.37412714399999997;0.38;True;0.77;True;3.52;True;ERR
161;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.04;False;ERR
162;0.01;False;0.0;True;0.01;True;6.64;True;0.2163211659999993;ERR;ERR;0.09;False;0.04;True;ERR
163;ERR;ERR;0.03;False;0.03;False;2.94;False;0.36632749600000025;0.08;False;ERR;ERR;0.03;False;ERR
164;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False;ERR
165;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;0.05;True;0.04;False;0.04;True;ERR
166;0.01;False;0.01;False;0.01;False;0.25;False;0.164348065;0.05;False;0.04;False;0.03;False;ERR
167;0.0;False;0.93;False;1.29;False;ERR;ERR;ERR;0.17;False;ERR;ERR;1.47;False;ERR
168;0.01;False;0.01;False;0.01;False;0.17;False;0.00015709999999999336;0.05;False;0.03;False;0.03;False;ERR
169;ERR;ERR;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;0.03;True;0.04;True;ERR
170;0.01;False;0.67;False;1.1;False;ERR;ERR;ERR;0.11;False;0.26;False;1.48;False;ERR
171;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.06;False;0.04;False;ERR
172;20.52;True;0.01;True;0.0;True;1.58;True;0.25680871699999996;0.06;True;0.19;False;0.03;True;ERR
173;0.0;False;41.84;False;58.26;False;ERR;ERR;ERR;3.6;False;0.21;False;TO;TO;ERR
174;0.02;False;0.12;False;0.16;False;ERR;ERR;ERR;0.06;False;0.23;False;0.37;False;ERR
175;7.13;True;0.01;True;0.0;True;ERR;ERR;ERR;0.05;True;0.05;True;0.03;True;ERR
176;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.03;False;0.04;False;ERR
177;0.01;False;0.0;False;0.01;False;TO;TO;TO;0.06;False;0.05;False;0.05;False;ERR
178;0.01;True;0.0;False;0.01;False;ERR;ERR;ERR;0.07;False;0.04;False;0.05;False;ERR
179;0.01;False;0.0;True;0.02;True;5.15;True;0.28551744600000006;ERR;ERR;ERR;ERR;ERR;ERR;ERR
180;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.06;False;0.03;False;ERR
181;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.03;False;TO;TO;ERR
182;0.0;False;0.01;False;0.02;False;ERR;ERR;ERR;0.07;False;0.05;False;0.04;False;ERR
183;TO;TO;68.72;True;0.44;True;ERR;ERR;ERR;0.14;True;40.32;False;1.09;True;ERR
184;TO;TO;0.0;True;0.0;True;34.12;True;20.358532362000002;0.06;True;0.05;True;0.03;True;ERR
185;0.01;False;0.06;False;0.06;False;0.42;False;0.057875518000000015;0.06;False;0.05;False;0.14;False;ERR
186;TO;TO;0.01;True;0.01;True;TO;TO;TO;0.07;True;0.04;True;0.05;True;ERR
187;0.01;False;0.01;True;0.01;True;5.32;True;0.2995359889999998;ERR;ERR;ERR;ERR;ERR;ERR;ERR
188;TO;TO;0.0;True;0.01;True;0.37;True;0.335098125;0.06;True;0.07;True;0.06;True;ERR
189;0.01;False;0.19;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR
190;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False;ERR
191;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.03;False;ERR
192;ERR;ERR;0.01;True;0.01;True;TO;TO;TO;0.06;True;0.55;False;0.04;True;ERR
193;0.0;False;0.01;False;0.01;False;TO;TO;TO;0.05;False;0.04;False;0.06;False;ERR
194;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False;ERR
195;0.01;False;0.02;False;0.03;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
196;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
197;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.04;False;0.03;False;ERR
198;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;ERR;ERR;0.03;True;ERR
199;0.02;False;0.43;False;0.01;False;ERR;ERR;ERR;0.19;False;0.12;False;1.69;False;ERR
200;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.03;False;0.04;False;ERR
201;0.01;False;1.17;False;0.01;False;TO;TO;TO;0.17;False;0.08;False;0.69;False;ERR
