name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;notrackrsa-runtime;notrackrsa-result;notrackrsa-matchtime;js-runtime;java-runtime;net-runtime;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
646;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
647;0.01;False;0.01;False;0.01;False;34.1;False;0.3320935019999993;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
648;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
649;0.01;False;0.01;False;0.01;False;53.89;False;0.00140211499999765;20.54;False;0.0013289249999992592;ERR;ERR;ERR;ERR;ERR;ERR
650;0.01;False;3.93;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
651;0.01;False;2.5;False;4.11;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
652;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
653;0.01;False;0.22;False;2.72;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
654;ERR;ERR;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
655;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
656;0.01;False;0.01;True;0.01;True;34.68;True;0.2242222180000013;67.25;True;0.4035966789999961;ERR;ERR;ERR;ERR;ERR;ERR
657;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
658;0.01;False;0.44;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
659;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
660;0.01;False;0.01;False;0.01;False;41.35;False;0.0002376659999967501;4.48;False;0.00021625399999969375;ERR;ERR;ERR;ERR;ERR;ERR
661;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
662;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
663;ERR;ERR;0.01;False;0.01;False;7.17;False;0.07382113499999932;12.89;False;0.06494585399999941;ERR;ERR;ERR;ERR;ERR;ERR
664;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
665;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
666;0.01;False;10.73;False;0.27;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
667;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
668;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
669;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
670;ERR;ERR;TO;TO;0.0;False;0.47;False;0.001144168000000001;0.52;False;0.00227285100000002;ERR;ERR;ERR;ERR;ERR;ERR
671;0.02;True;0.01;True;0.01;True;0.49;True;0.36394266799999997;1.02;True;0.8333604929999999;ERR;ERR;ERR;ERR;ERR;ERR
672;0.01;False;0.6;False;0.07;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
673;0.01;False;0.01;False;0.01;False;0.04;False;2.4575999999998377e-05;0.04;False;2.4526000000003878e-05;ERR;ERR;ERR;ERR;ERR;ERR
674;0.02;False;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
675;ERR;ERR;TO;TO;ERR;ERR;18.01;False;0.0027786709999997328;52.77;False;0.013292801999995163;ERR;ERR;ERR;ERR;ERR;ERR
676;0.01;False;0.01;False;0.01;False;0.46;False;0.211916177;0.34;False;0.205152795;ERR;ERR;ERR;ERR;ERR;ERR
677;0.01;False;0.01;False;0.01;False;1.35;False;0.18367850100000005;2.93;False;0.19660830900000015;ERR;ERR;ERR;ERR;ERR;ERR
678;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
679;0.01;False;0.01;True;0.01;True;6.89;True;0.20703475999999998;10.27;True;0.3862820589999991;ERR;ERR;ERR;ERR;ERR;ERR
680;TO;TO;56.77;True;0.44;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
681;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
682;ERR;ERR;0.0;True;0.0;True;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
683;0.01;False;0.01;False;0.01;False;0.2;False;9.314000000001932e-05;0.06;False;7.823800000000825e-05;ERR;ERR;ERR;ERR;ERR;ERR
684;0.01;False;1.17;False;2.0;False;5.31;False;0.19525966399999994;8.13;False;0.2758280280000003;ERR;ERR;ERR;ERR;ERR;ERR
685;0.02;False;0.01;False;0.01;False;0.15;False;0.088512487;0.14;False;0.077659096;ERR;ERR;ERR;ERR;ERR;ERR
686;ERR;ERR;0.0;False;0.0;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
687;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
688;0.02;False;0.11;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
689;0.01;False;0.01;False;0.01;False;6.62;False;0.12855597200000002;4.52;False;0.12778168999999995;ERR;ERR;ERR;ERR;ERR;ERR
690;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
691;0.01;False;1.3;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
692;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
693;0.02;False;0.38;False;0.58;False;18.0;False;0.13979650399999954;56.35;False;0.262758790999996;ERR;ERR;ERR;ERR;ERR;ERR
694;ERR;ERR;0.01;False;0.01;False;13.14;False;0.00011290000000130362;1.0;False;0.00011516300000002921;ERR;ERR;ERR;ERR;ERR;ERR
695;0.0;False;0.2;False;0.44;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
696;0.02;True;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
697;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
698;ERR;ERR;0.01;True;0.0;True;2.94;True;0.5754647340000001;12.8;True;7.357287371000001;ERR;ERR;ERR;ERR;ERR;ERR
699;ERR;ERR;0.01;True;0.0;True;1.41;True;0.13751263699999994;3.99;True;0.8300660789999998;ERR;ERR;ERR;ERR;ERR;ERR
700;0.01;False;0.13;False;0.08;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
701;0.83;False;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
702;TO;TO;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
703;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
704;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;24.43;False;0.1780795270000013;ERR;ERR;ERR;ERR;ERR;ERR
705;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
706;0.01;False;0.0;True;0.01;True;1.07;True;0.18837287800000002;2.34;True;0.51945438;ERR;ERR;ERR;ERR;ERR;ERR
707;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
708;0.02;False;0.02;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
709;0.01;False;0.03;False;0.01;False;30.79;False;0.14363243200000042;22.3;False;0.17955193699999938;ERR;ERR;ERR;ERR;ERR;ERR
710;0.01;False;4.73;False;0.0;False;11.62;False;0.1500942709999986;4.29;False;0.215445243;ERR;ERR;ERR;ERR;ERR;ERR
